income_above_50k,age,type_of_work,education,years_of_education,marital_status,occupation,race,sex,hours_per_week,home_country
0,53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,24, Private, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,50, United-States
0,49, Private, HS-grad,9, Separated, Adm-clerical, White, Female,40, United-States
0,25, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Male,35, United-States
1,57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Black, Male,40, United-States
0,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,38, United-States
0,44, Private, Masters,14, Divorced, Exec-managerial, White, Female,40, United-States
0,41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,29, Private, Assoc-voc,11, Never-married, Prof-specialty, White, Male,43, United-States
0,25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Other, Female,40, United-States
0,18, Private, HS-grad,9, Never-married, Other-service, White, Female,30, ?
1,47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Female,60, Honduras
1,50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, White, Male,55, United-States
0,47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, White, Male,60, United-States
1,43, Private, Some-college,10, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, White, Male,40, Mexico
0,35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, White, Male,40, Puerto-Rico
0,41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Male,48, United-States
0,30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,30, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,40, United-States
0,32, ?, 7th-8th,4, Married-spouse-absent, ?, White, Male,40, ?
0,48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,40, United-States
1,42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,45, United-States
0,29, Private, Some-college,10, Divorced, Tech-support, White, Male,58, United-States
0,36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,28, Private, Some-college,10, Divorced, Adm-clerical, White, Female,40, United-States
1,53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Female,40, United-States
1,49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, White, Male,50, United-States
0,25, ?, Some-college,10, Never-married, ?, White, Male,40, United-States
0,19, Private, Some-college,10, Never-married, Prof-specialty, White, Male,32, United-States
0,31, Private, Bachelors,13, Separated, Sales, Black, Female,40, United-States
1,29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, White, Male,70, United-States
0,23, Private, Some-college,10, Never-married, Machine-op-inspct, White, Male,40, United-States
0,79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, White, Male,20, United-States
0,27, Private, HS-grad,9, Never-married, Other-service, White, Male,40, Mexico
0,40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
0,67, ?, 10th,6, Married-civ-spouse, ?, White, Male,2, United-States
0,18, Private, 11th,7, Never-married, Other-service, White, Female,22, United-States
0,31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, White, Male,40, United-States
0,18, Private, HS-grad,9, Never-married, Sales, White, Male,30, United-States
0,52, Private, Bachelors,13, Married-civ-spouse, Other-service, White, Male,40, Cuba
0,46, Private, HS-grad,9, Married-civ-spouse, Other-service, White, Female,40, United-States
0,59, Private, HS-grad,9, Married-civ-spouse, Sales, White, Male,48, United-States
1,44, Private, HS-grad,9, Divorced, Craft-repair, White, Female,40, United-States
0,53, Private, HS-grad,9, Divorced, Sales, White, Female,35, United-States
1,49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, White, Male,40, United-States
0,33, Private, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,30, Private, 9th,5, Never-married, Sales, White, Male,40, United-States
1,43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, White, Female,50, United-States
0,57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,37, Private, Some-college,10, Divorced, Craft-repair, White, Female,40, United-States
0,28, Private, Some-college,10, Divorced, Machine-op-inspct, Black, Female,25, United-States
0,30, Private, HS-grad,9, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35, ?
1,34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, White, Male,40, United-States
0,29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, White, Male,50, United-States
1,48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,60, United-States
1,37, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,48, United-States
0,48, Private, Assoc-acdm,12, Divorced, Exec-managerial, White, Female,40, England
0,32, Federal-gov, HS-grad,9, Never-married, Other-service, Black, Male,40, United-States
1,76, Private, Masters,14, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
1,44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,60, United-States
0,47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, White, Female,50, United-States
0,20, Private, Some-college,10, Never-married, Tech-support, White, Female,40, United-States
0,29, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States
1,32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,17, ?, 10th,6, Never-married, ?, White, Female,32, United-States
0,30, Private, 11th,7, Never-married, Handlers-cleaners, White, Male,40, United-States
0,31, Local-gov, HS-grad,9, Never-married, Adm-clerical, White, Female,40, United-States
0,42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States
0,24, Private, Bachelors,13, Never-married, Sales, White, Male,40, United-States
1,38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
1,56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, White, Male,50, Canada
0,28, Private, Some-college,10, Married-civ-spouse, Sales, White, Female,25, United-States
0,36, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Female,40, United-States
0,53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, White, Male,50, United-States
0,56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, White, Male,50, United-States
1,49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Black, Male,40, United-States
0,55, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,56, United-States
0,22, Private, HS-grad,9, Never-married, Craft-repair, White, Male,41, United-States
0,21, Private, Some-college,10, Never-married, Other-service, White, Female,40, United-States
0,40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,60, United-States
0,30, Private, Bachelors,13, Never-married, Exec-managerial, Black, Male,40, Germany
1,29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,50, United-States
0,19, Private, Some-college,10, Never-married, Other-service, Black, Male,35, United-States
1,47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Female,40, United-States
0,20, Private, Some-college,10, Never-married, Adm-clerical, White, Female,28, United-States
1,31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
0,35, ?, HS-grad,9, Married-civ-spouse, ?, White, Male,40, United-States
0,39, Private, Some-college,10, Divorced, Craft-repair, White, Male,40, United-States
0,28, Private, Assoc-acdm,12, Never-married, Sales, White, Female,60, United-States
0,24, Private, HS-grad,9, Never-married, Other-service, White, Female,40, United-States
0,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,35, United-States
0,37, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,50, United-States
0,46, Private, Assoc-acdm,12, Divorced, Tech-support, Black, Female,36, United-States
1,38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,40, Iran
0,43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,60, United-States
0,27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, White, Female,35, United-States
0,20, Private, Some-college,10, Never-married, Sales, White, Male,20, United-States
1,49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, United-States
0,61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,27, Private, Some-college,10, Never-married, Sales, White, Female,40, United-States
0,19, Private, Some-college,10, Never-married, Other-service, White, Male,30, Mexico
1,45, Private, Assoc-voc,11, Never-married, Prof-specialty, White, Female,40, United-States
0,70, Private, Some-college,10, Never-married, Tech-support, White, Male,40, United-States
0,31, Private, HS-grad,9, Never-married, Transport-moving, Black, Female,30, United-States
0,22, Private, Some-college,10, Married-civ-spouse, Other-service, White, Male,24, United-States
0,36, Private, HS-grad,9, Widowed, Other-service, White, Female,24, United-States
0,64, Private, 11th,7, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,43, ?, Some-college,10, Divorced, ?, White, Female,40, United-States
0,47, Local-gov, Some-college,10, Divorced, Adm-clerical, White, Female,38, Mexico
0,34, Private, HS-grad,9, Never-married, Adm-clerical, White, Female,40, United-States
0,33, Private, Bachelors,13, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, Philippines
0,21, Private, HS-grad,9, Never-married, Craft-repair, White, Male,35, United-States
1,52, ?, HS-grad,9, Divorced, ?, White, Male,45, United-States
0,48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,46, United-States
0,23, Private, Bachelors,13, Never-married, Handlers-cleaners, White, Male,40, United-States
0,71, Self-emp-not-inc, Some-college,10, Separated, Sales, Black, Male,2, United-States
0,29, Private, HS-grad,9, Divorced, Craft-repair, White, Male,60, United-States
0,42, Private, Bachelors,13, Separated, Other-service, Black, Male,50, United-States
0,68, ?, 1st-4th,2, Divorced, ?, White, Female,20, United-States
0,25, Private, HS-grad,9, Never-married, Other-service, White, Female,40, United-States
0,44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Asian-Pac-Islander, Female,40, United-States
0,28, Private, HS-grad,9, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, England
1,45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, White, Male,40, United-States
0,36, Private, Some-college,10, Divorced, Other-service, White, Female,40, Mexico
0,39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, White, Male,42, United-States
0,46, State-gov, Masters,14, Widowed, Protective-serv, White, Male,40, United-States
0,18, Private, 11th,7, Never-married, Handlers-cleaners, White, Male,16, United-States
0,66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, White, Female,20, United-States
0,27, Private, HS-grad,9, Never-married, Other-service, White, Male,40, United-States
0,28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, White, Male,40, United-States
1,51, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,40, United-States
0,27, Private, Bachelors,13, Never-married, Craft-repair, White, Male,50, United-States
1,28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,27, Private, HS-grad,9, Married-spouse-absent, Sales, White, Female,25, United-States
0,21, Private, HS-grad,9, Never-married, Craft-repair, Black, Male,40, United-States
0,34, Private, HS-grad,9, Never-married, Handlers-cleaners, Black, Male,40, United-States
0,18, Private, HS-grad,9, Never-married, Other-service, White, Male,12, United-States
0,33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,65, United-States
1,44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Black, Male,38, United-States
0,43, Private, Some-college,10, Divorced, Adm-clerical, White, Female,40, United-States
0,30, Private, Some-college,10, Never-married, Craft-repair, Black, Male,45, United-States
1,40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, White, Male,40, Mexico
1,37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, White, Male,42, United-States
0,34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Black, Male,40, United-States
0,41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, White, Female,40, United-States
0,53, ?, Bachelors,13, Divorced, ?, White, Female,50, United-States
0,31, Private, Masters,14, Married-civ-spouse, Prof-specialty, White, Female,50, United-States
1,58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,1, United-States
0,38, Private, Some-college,10, Divorced, Machine-op-inspct, Black, Female,28, United-States
0,24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
0,41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Black, Male,40, United-States
0,47, Private, Some-college,10, Married-civ-spouse, Tech-support, White, Male,45, United-States
0,41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,24, United-States
0,23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, White, Male,40, Mexico
0,36, Private, Some-college,10, Divorced, Craft-repair, White, Male,40, United-States
1,40, Federal-gov, Masters,14, Never-married, Exec-managerial, White, Female,55, United-States
1,35, Private, Masters,14, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, White, Male,40, United-States
0,26, Private, Masters,14, Never-married, Prof-specialty, White, Female,40, United-States
0,19, ?, HS-grad,9, Never-married, ?, White, Male,40, Italy
1,51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,50, United-States
0,42, Local-gov, Some-college,10, Never-married, Prof-specialty, White, Female,40, United-States
0,37, State-gov, HS-grad,9, Divorced, Adm-clerical, White, Female,35, United-States
0,18, Private, 11th,7, Never-married, Sales, White, Female,40, United-States
1,36, Private, Bachelors,13, Married-civ-spouse, Other-service, Black, Male,36, United-States
0,35, Private, HS-grad,9, Divorced, Craft-repair, White, Male,60, United-States
1,58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, White, Female,35, United-States
0,17, Private, 11th,7, Never-married, Sales, White, Female,12, United-States
0,44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Black, Male,40, United-States
1,37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,35, Private, Some-college,10, Never-married, Sales, Amer-Indian-Eskimo, Female,40, United-States
0,60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, United-States
1,54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States
1,37, Private, Bachelors,13, Never-married, Exec-managerial, Black, Male,60, United-States
0,50, Private, Assoc-acdm,12, Divorced, Sales, White, Female,40, United-States
0,38, Private, Bachelors,13, Married-civ-spouse, Sales, White, Male,50, Poland
0,45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,55, United-States
0,25, Private, 10th,6, Never-married, Craft-repair, White, Male,40, United-States
0,31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States
0,64, ?, 1st-4th,2, Divorced, ?, White, Male,40, United-States
0,90, Private, HS-grad,9, Never-married, Other-service, Black, Male,40, United-States
0,54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Black, Male,20, United-States
0,53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, White, Female,35, United-States
0,18, Private, HS-grad,9, Never-married, Sales, White, Female,40, United-States
0,60, ?, 10th,6, Divorced, ?, Amer-Indian-Eskimo, Female,10, United-States
0,66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, White, Male,50, United-States
0,75, Private, Assoc-voc,11, Widowed, Adm-clerical, White, Female,20, Columbia
0,65, Private, HS-grad,9, Divorced, Adm-clerical, White, Female,40, United-States
0,35, Private, 11th,7, Separated, Transport-moving, Black, Male,40, United-States
0,41, Private, HS-grad,9, Divorced, Sales, Black, Female,38, United-States
0,25, Private, Some-college,10, Never-married, Adm-clerical, White, Male,42, United-States
0,33, Private, Some-college,10, Divorced, Craft-repair, Other, Female,40, United-States
1,28, Private, Prof-school,15, Never-married, Prof-specialty, White, Male,55, United-States
0,59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, White, Male,40, United-States
0,40, State-gov, Some-college,10, Never-married, Adm-clerical, White, Female,38, United-States
1,41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,50, Iran
1,38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, White, Male,70, United-States
0,23, Private, HS-grad,9, Never-married, Transport-moving, White, Male,40, United-States
1,40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, White, Female,20, United-States
0,24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, White, Male,50, United-States
0,20, ?, Some-college,10, Never-married, ?, White, Male,20, United-States
0,38, Private, Some-college,10, Divorced, Craft-repair, White, Male,40, United-States
0,56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Male,35, ?
1,58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Male,45, United-States
0,32, Private, HS-grad,9, Never-married, Other-service, White, Female,34, United-States
1,40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, White, Male,60, United-States
0,45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, White, Male,40, ?
1,41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Female,40, United-States
0,42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Black, Female,40, United-States
0,59, Local-gov, 10th,6, Widowed, Other-service, Black, Female,30, United-States
0,19, Local-gov, Some-college,10, Never-married, Adm-clerical, White, Male,40, United-States
0,58, Private, Some-college,10, Never-married, Transport-moving, White, Male,20, United-States
1,42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male,40, Cambodia
0,20, Private, HS-grad,9, Never-married, Other-service, White, Female,40, United-States
0,32, Private, HS-grad,9, Separated, Other-service, White, Female,30, United-States
0,45, Private, Assoc-voc,11, Widowed, Exec-managerial, White, Female,45, United-States
0,50, Private, 7th-8th,4, Divorced, Craft-repair, White, Male,40, United-States
0,36, Private, Bachelors,13, Divorced, Prof-specialty, White, Female,40, United-States
0,45, Private, HS-grad,9, Married-civ-spouse, Sales, White, Male,60, United-States
0,17, Private, 11th,7, Never-married, Other-service, White, Male,12, United-States
0,59, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,40, United-States
0,26, Private, 11th,7, Married-civ-spouse, Craft-repair, White, Male,40, United-States
1,37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,75, Thailand
0,19, ?, Some-college,10, Never-married, ?, White, Male,24, Canada
1,64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,33, Private, Bachelors,13, Never-married, Prof-specialty, White, Female,45, United-States
1,33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Female,40, United-States
1,61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,17, Private, 9th,5, Never-married, Other-service, White, Male,24, United-States
0,50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, White, Male,98, United-States
0,27, Local-gov, Masters,14, Never-married, Prof-specialty, White, Male,35, United-States
0,30, Private, HS-grad,9, Divorced, Prof-specialty, White, Female,40, United-States
0,43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States
1,44, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,35, Private, Some-college,10, Never-married, Exec-managerial, White, Female,40, United-States
0,25, Private, Some-college,10, Never-married, Tech-support, White, Female,40, United-States
1,24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, White, Female,48, United-States
0,22, Private, Bachelors,13, Never-married, Prof-specialty, White, Female,15, Germany
1,42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,34, Private, Assoc-acdm,12, Divorced, Sales, Black, Female,45, United-States
0,60, Private, Bachelors,13, Divorced, Prof-specialty, White, Female,42, United-States
0,21, Private, HS-grad,9, Never-married, Handlers-cleaners, White, Male,40, United-States
1,57, Federal-gov, Masters,14, Married-civ-spouse, Sales, White, Male,40, United-States
1,41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, White, Male,60, United-States
0,50, Private, Some-college,10, Divorced, Other-service, White, Male,45, United-States
0,25, Private, Bachelors,13, Never-married, Exec-managerial, White, Female,40, United-States
0,50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, White, Male,40, Ecuador
0,36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, White, Male,45, United-States
0,31, Private, HS-grad,9, Divorced, Prof-specialty, White, Female,40, United-States
0,29, Local-gov, Bachelors,13, Never-married, Protective-serv, White, Male,56, United-States
0,21, Private, Some-college,10, Never-married, Sales, White, Male,45, United-States
0,27, Private, Bachelors,13, Never-married, Tech-support, Black, Female,40, United-States
0,65, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,16, United-States
0,37, Self-emp-inc, Bachelors,13, Divorced, Sales, White, Female,60, United-States
0,39, ?, Masters,14, Married-civ-spouse, ?, Asian-Pac-Islander, Female,40, ?
0,24, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States
0,38, Private, HS-grad,9, Divorced, Sales, White, Male,80, United-States
1,48, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
0,21, Private, Some-college,10, Never-married, Other-service, Asian-Pac-Islander, Female,25, United-States
1,31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, White, Male,45, United-States
1,55, Private, HS-grad,9, Married-civ-spouse, Sales, White, Male,40, United-States
0,24, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female,40, Laos
0,43, Private, HS-grad,9, Divorced, Adm-clerical, White, Female,40, United-States
0,26, Private, Assoc-acdm,12, Never-married, Tech-support, White, Male,45, United-States
0,46, Private, Assoc-acdm,12, Never-married, Prof-specialty, White, Female,33, United-States
1,35, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
1,41, Self-emp-inc, Some-college,10, Married-civ-spouse, Farming-fishing, White, Male,54, United-States
0,26, Private, Bachelors,13, Never-married, Sales, White, Male,40, United-States
1,34, Private, Masters,14, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,35, Taiwan
0,19, ?, Some-college,10, Never-married, ?, Black, Female,25, United-States
1,36, Self-emp-not-inc, Bachelors,13, Divorced, Prof-specialty, Black, Female,40, United-States
0,22, Private, Some-college,10, Never-married, Sales, White, Male,15, United-States
0,24, Private, Some-college,10, Never-married, Machine-op-inspct, White, Male,40, United-States
0,77, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, White, Male,40, United-States
0,22, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, White, Female,40, Mexico
0,29, Private, Some-college,10, Never-married, Tech-support, White, Female,40, United-States
0,62, Private, HS-grad,9, Widowed, Other-service, White, Female,24, United-States
0,39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
0,43, Private, Some-college,10, Married-civ-spouse, Craft-repair, White, Male,50, United-States
0,35, Private, HS-grad,9, Divorced, Transport-moving, White, Male,45, United-States
0,29, Private, 11th,7, Never-married, Exec-managerial, White, Female,40, United-States
0,76, Self-emp-not-inc, Masters,14, Married-civ-spouse, Craft-repair, White, Male,10, United-States
0,63, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, White, Male,45, United-States
0,23, ?, Assoc-voc,11, Never-married, ?, Black, Female,15, United-States
1,43, Private, Some-college,10, Married-civ-spouse, Prof-specialty, White, Female,50, United-States
0,58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States
0,66, Private, HS-grad,9, Never-married, Transport-moving, White, Male,55, United-States
0,41, Private, Some-college,10, Never-married, Craft-repair, Black, Male,45, United-States
